Phylum;Class;Order;Family;Genus;Species;Subspecies;CommonName;FormerDistribution;Assessment;EstimatedExtinctionDate;CausesOfExtinction;Habitat;HabitatNotes;HumanLosses;PotentialLosses
ANNELIDA;OLIGOCHAETA;HAPLOTAXIDA;MEGASCOLECIDAE;Hypolimnus ;pedderensis;;Lake Pedder Earthworm;Australia: Tasmania;Extinct;1970's;Habitat destruction;Terrestrial;Sandy water logged sediments;Unknown;Unknown
ARTHROPODA;CRUSTACEA;AMPHIPODA;CRANGONYCTIDAE;Stygobromus;lucifugus;;Rubious Cave Amphipod;United States;Extinct;Unknown;Unknown;Freshwater;Subaquatic;Food source ;Unknown
ARTHROPODA;CRUSTACEA;AMPHIPODA;PARAMELITIDAE;Austrogammarus;australis;;Unknown;Australia;Extinct;Unknown;Unknown;Freshwater;Leaf litter;Food source ;Unknown
ARTHROPODA;CRUSTACEA;CALANOIDA;DIAPTOMIDAE;Tropodiaptomus ;ctenopus;;Unknown;Madagascar;Extinct;Unknown;Unknown;Freshwater;Unknown;Food source ;Unknown
ARTHROPODA;CRUSTACEA;CYCLOPOIDA;CYCLOPIDAE;Afrocyclops;pauliani;;Unknown;Madagascar;Extinct;1950's;Unknown;Freshwater;Small pools;Food source ;Unknown
ARTHROPODA;CRUSTACEA;DECAPODA;ATYIDAE;Syncaris;pasadenae;;Pasadena Freshwater Shrimp, Pasadena Shrimp;United States;Extinct;Unknown;Unknown;Freshwater;Unknown;Food source ;Unknown
ARTHROPODA;CRUSTACEA;ISOPODA;SPHAEROMATIDAE;Thermosphaeroma;thermophilum;;Socorro Isopod;United States;Extinct in the wild;1988;Habitat modification;Freshwater;Springs;Food source ;Unknown
ARTHROPODA;CRUSTACEA;PODOCOPIDA;CYPRIDIDAE;Liocypris;grandis;;Unknown;South Africa;Extinct;Unknown;Unknown;Freshwater;Unknown;Food source ;Unknown
ARTHROPODA;CRUSTACEA;PODOCOPIDA;CANDONIDAE;Namibcypris;costata;;Unknown;Namibia;Extinct;Unknown;Unknown;Freshwater;Underground water;Food source ;Unknown
ARTHROPODA;INSECTA;COLEOPTERA;CARABIDAE;Mecodema;punctellum;;Unknown;New Zealand: Stephens Island;Extinct;1931;Habitat loss;Terrestrial;Large logs;Unknown;Unknown
ARTHROPODA;INSECTA;COLEOPTERA;CURCULIONIDAE;Dryophthorus;distinguendus;;Unknown;United States: Hawaii;Extinct;Unknown;Habitat destruction;Terrestrial;Unknown;Unknown;Unknown
ARTHROPODA;INSECTA;COLEOPTERA;CURCULIONIDAE;Dryotribus;mimeticus;;Unknown;United States: Hawaii;Extinct;Unknown;Unknown;Terrestrial;Unknown;Unknown;Unknown
ARTHROPODA;INSECTA;COLEOPTERA;CURCULIONIDAE;Karocolens;tuberculatus;;Canterbury knobbed weevil, Spaniard weevil, Banks Peninsula speargrass weevil;New Zealand;Extinct;1922;Habitat destruction and predation by introduced rats;Terrestrial;Speargrass;Unknown;Unknown
ARTHROPODA;INSECTA;COLEOPTERA;CURCULIONIDAE;Macrancylus;linearis;;Unknown;United States: Hawaii;Extinct;Unknown;Habitat destruction;Terrestrial;Unknown;Unknown;Unknown
ARTHROPODA;INSECTA;COLEOPTERA;CURCULIONIDAE;Oedemasylus;laysanensis;;Unknown;United States: Hawaii;Extinct;Unknown;Habitat destruction;Terrestrial;Unknown;Unknown;Unknown
ARTHROPODA;INSECTA;COLEOPTERA;CURCULIONIDAE;Pentarthrum;blackburni;;Blackburn's Weevil;United States: Hawaii;Extinct;Unknown;Habitat destruction;Terrestrial;Unknown;Unknown;Unknown
ARTHROPODA;INSECTA;COLEOPTERA;CURCULIONIDAE;Rhyncogonus;bryani;;Unknown;United States: Hawaii;Extinct;1994;Habitat destruction;Terrestrial;Unknown;Unknown;Unknown
ARTHROPODA;INSECTA;COLEOPTERA;CURCULIONIDAE;Trigonoscuta;rossi;;Fort Ross Weevil;United States;Extinct;Unknown;Habitat destruction;Terrestrial;Unknown;Unknown;Unknown
ARTHROPODA;INSECTA;COLEOPTERA;CURCULIONIDAE;Trigonoscuta;yorbalindae;;Yorba Linda Weevil;United States;Extinct;1986;Habitat destruction;Terrestrial;Unknown;Unknown;Unknown
ARTHROPODA;INSECTA;COLEOPTERA;DYTISCIDAE;Hygrotus;artus;;Mono Lake Diving Beetle;United States;Extinct;Unknown;Habitat destruction;Freshwater;Unknown;Food source ;Unknown
